"Year","Month","Symbol","Volume","MonthlyReturns"
"2017","06","TXT",1445154.54545455,-0.0146443676592515
"2017","07","TXT",1356700,0.043099844156248
"2017","08","TXT",1017126.08695652,-0.000814185114139998
"2017","09","TXT",1368290,0.0975758993815123
"2017","10","TXT",1858468.18181818,-0.0211581174285288
"2017","11","TXT",1207080.95238095,0.0563139421972843
"2017","12","TXT",1213300,0.0157961063108418
"2018","01","TXT",1326557.14285714,0.0367555753799076
"2018","02","TXT",1872231.57894737,0.0201124994375808
"2018","03","TXT",1616666.66666667,-0.0147033797135095
"2018","04","TXT",2248490.47619048,0.0537561150301009
"2018","05","TXT",1468795.45454545,0.0714516009819255
"2018","06","TXT",1582695.23809524,-0.0100630542282865
"2018","07","TXT",1949376.19047619,0.0358062941864734
"2018","08","TXT",1396965.2173913,0.0111323007704829
"2018","09","TXT",1404100,0.0353469865935743
"2018","10","TXT",2557221.73913043,-0.249615221042141
"2018","11","TXT",1645685.71428571,0.046802130739197
"2018","12","TXT",2354857.89473684,-0.180797966183327
"2019","01","TXT",2233128.57142857,0.157425475093196
"2019","02","TXT",1475510.52631579,0.020101440992409
"2019","03","TXT",1626700,-0.0670349804934083
"2019","04","TXT",1838466.66666667,0.0461902913469399
"2019","05","TXT",1416563.63636364,-0.145283033263009
"2019","06","TXT",1309475,0.170860967082194
"2019","07","TXT",1758804.54545455,-0.0705128509409946
"2019","08","TXT",1464072.72727273,-0.0872210812090254
"2019","09","TXT",1512555,0.087999979654948
"2019","10","TXT",1398108.69565217,-0.0586192603258231
"2019","11","TXT",1503755,0.00325453515691687
"2019","12","TXT",1778623.80952381,-0.0354671960383909
"2015","01","UGI",1108520,-0.0270909723013049
"2015","02","UGI",1209705.26315789,-0.0811029971308816
"2015","03","UGI",1118009.09090909,-0.0411886277359566
"2015","04","UGI",1212976.19047619,0.0681190920622576
"2015","05","UGI",1099885,0.0744039083714356
"2015","06","UGI",747890.909090909,-0.0788770225289483
"2015","07","UGI",790118.181818182,0.0606676373382338
"2015","08","UGI",862357.142857143,-0.06732345437428
"2015","09","UGI",758380.952380952,0.0217135511740267
"2015","10","UGI",665622.727272727,0.0531303414800455
"2015","11","UGI",914515,-0.0545404990419045
"2015","12","UGI",1327318.18181818,-0.0262474731892895
"2016","01","UGI",992863.157894737,0.00710905481040025
"2016","02","UGI",868385,0.087058796602137
"2016","03","UGI",856377.272727273,0.090097454370708
"2016","04","UGI",948790.476190476,-0.00124098376580772
"2016","05","UGI",1475309.52380952,0.0666003076215733
"2016","06","UGI",1020872.72727273,0.0542870906443924
"2016","07","UGI",841360,0.000220957381949161
"2016","08","UGI",645713.043478261,0.00486083139332449
"2016","09","UGI",686919.047619048,-0.00527699793722847
"2016","10","UGI",724604.761904762,0.0232095313462448
"2016","11","UGI",722371.428571429,-0.0321884132425454
"2016","12","UGI",714700,0.0285714869596529
"2017","01","UGI",632490,0.0062933396116891
"2017","02","UGI",662642.105263158,0.0401121555573856
"2017","03","UGI",779278.260869565,0.024258801466875
"2017","04","UGI",764289.473684211,0.0153845809323521
"2017","05","UGI",865522.727272727,0.0203349374175945
"2017","06","UGI",710800,-0.0541227128027888
"2017","07","UGI",560180,0.0425532199914092
"2017","08","UGI",679543.47826087,-0.0210026024896587
"2017","09","UGI",646975,-0.0516089707536015
"2017","10","UGI",612040.909090909,0.0213401619072771
"2017","11","UGI",627004.761904762,0.024028368084327
"2017","12","UGI",885320,-0.042032189943754
"2018","01","UGI",861619.047619048,-0.0251331264323904
"2018","02","UGI",955610.526315789,-0.0585536438359635
"2018","03","UGI",772609.523809524,0.0308655839324137
"2018","04","UGI",742609.523809524,0.0893741869507463
"2018","05","UGI",905027.272727273,0.0429841260031023
"2018","06","UGI",838957.142857143,0.0317019701886745
"2018","07","UGI",709690.476190476,0.0205492548702775
"2018","08","UGI",788600,0.0171245739153956
"2018","09","UGI",959473.684210526,0.0264569902934479
"2018","10","UGI",733691.304347826,-0.0436192896343301
"2018","11","UGI",994490.476190476,0.0827365110446123
"2018","12","UGI",1241042.10526316,-0.0713664444624905
"2019","01","UGI",849133.333333333,0.0689784519293073
"2019","02","UGI",1115321.05263158,-0.0373487164476533
"2019","03","UGI",888861.904761905,0.00947170543923015
"2019","04","UGI",1826071.42857143,-0.016420062747711
"2019","05","UGI",1236295.45454545,-0.0532012071267309
"2019","06","UGI",988050,0.0348769466338568
"2019","07","UGI",1223663.63636364,-0.0434375529199076
"2019","08","UGI",2595218.18181818,-0.0473674295638067
"2019","09","UGI",1861250,0.0328745089174725
"2019","10","UGI",1044591.30434783,-0.0517207532353785
"2019","11","UGI",1540900,-0.0864275034641966
"2019","12","UGI",1534495.23809524,0.0369690158107161
"2015","01","UIS",477380,-0.24091378440688
"2015","02","UIS",428531.578947368,0.0323756987958221
"2015","03","UIS",301354.545454545,0.0251766656444716
"2015","04","UIS",532780.952380952,-0.0620421664588662
"2015","05","UIS",400680,-0.0564997481108312
"2015","06","UIS",274713.636363636,-0.0267770749704983
"2015","07","UIS",503163.636363636,-0.206103048160697
"2015","08","UIS",599000,-0.170132314350046
"2015","09","UIS",521438.095238095,-0.0964313174188721
"2015","10","UIS",523072.727272727,0.126050424208775
"2015","11","UIS",308940,-0.040298505763111
"2015","12","UIS",484572.727272727,-0.14074646300652
"2016","01","UIS",451347.368421053,-0.111312260151992
"2016","02","UIS",391480,0.0967414248943577
"2016","03","UIS",2360500,-0.285051115878597
"2016","04","UIS",982085.714285714,0.00129873105578571
"2016","05","UIS",682200,0.0946821710278196
"2016","06","UIS",823259.090909091,-0.137440690550635
"2016","07","UIS",1078170,0.361263676072476
"2016","08","UIS",670334.782608696,0.0191726071627776
"2016","09","UIS",582128.571428571,-0.0356436234410494
"2016","10","UIS",762242.857142857,0.0728952828368972
"2016","11","UIS",997204.761904762,0.42105269402048
"2016","12","UIS",755376.190476191,0.00673396802872772
"2017","01","UIS",927525,-0.140468190942314
"2017","02","UIS",895515.789473684,0.0817120004583574
"2017","03","UIS",682465.217391304,0.00359713612281021
"2017","04","UIS",1297547.36842105,-0.189964132957925
"2017","05","UIS",657918.181818182,0.0442477868637525
"2017","06","UIS",452995.454545455,0.0847457613420364
"2017","07","UIS",297665,0
"2017","08","UIS",1248756.52173913,-0.394531259022187
"2017","09","UIS",477050,0.096774193548387
"2017","10","UIS",389468.181818182,0.0294117647058822
"2017","11","UIS",608395.238095238,-0.114285714285714
"2017","12","UIS",306095,0.0516128540039062
"2018","01","UIS",259433.333333333,0.0920245441846108
"2018","02","UIS",928900,0.258426998799656
"2018","03","UIS",569900,-0.0401785550829097
"2018","04","UIS",480014.285714286,0.0418604473735011
"2018","05","UIS",583104.545454545,0.0758928924951023
"2018","06","UIS",555523.809523809,0.0705393704847379
"2018","07","UIS",789800,-0.00387590996427045
"2018","08","UIS",1867421.73913043,0.447470803836843
"2018","09","UIS",1371631.57894737,0.0967741505453839
"2018","10","UIS",1015513.04347826,-0.0975490102122627
"2018","11","UIS",1157490.47619048,-0.265616481813053
"2018","12","UIS",885736.842105263,-0.139792920068834
"2019","01","UIS",470238.095238095,0.124677540412461
"2019","02","UIS",689900,0.0328746412602383
"2019","03","UIS",631419.047619048,-0.136195419793874
"2019","04","UIS",531247.619047619,-0.0394173123513
"2019","05","UIS",907850,-0.134701179638126
"2019","06","UIS",666800,0.00206190290277819
"2019","07","UIS",665754.545454545,0.274691358327514
"2019","08","UIS",1221486.36363636,-0.472154981385648
"2019","09","UIS",1102075,0.136085607290038
"2019","10","UIS",841821.739130435,0.380888353422212
"2019","11","UIS",738580,0.109161779783034
"2019","12","UIS",548404.761904762,0.0421792212134708
"2015","01","USB",8293425,-0.0651349958593986
"2015","02","USB",5946194.73684211,0.0644237836499582
"2015","03","USB",6198536.36363636,-0.0210715630698316
"2015","04","USB",6233166.66666667,-0.0183191955714219
"2015","05","USB",5523645,0.00559835979581269
"2015","06","USB",6873645.45454545,0.00672699864118553
"2015","07","USB",7202750,0.0417050114045381
"2015","08","USB",7127471.42857143,-0.0632603554140267
"2015","09","USB",9995523.80952381,-0.0316410909295953
"2015","10","USB",7609495.45454545,0.0285296764576615
"2015","11","USB",6165070,0.0405405185419789
"2015","12","USB",6398263.63636364,-0.0277967928382078
"2016","01","USB",10059226.3157895,-0.0611670238494132
"2016","02","USB",9473715,-0.038442358031323
"2016","03","USB",6372004.54545455,0.0537383091958663
"2016","04","USB",7992076.19047619,0.0517368432181986
"2016","05","USB",7611980.95238095,0.00304523476920182
"2016","06","USB",7523022.72727273,-0.0581503475365626
"2016","07","USB",6145640,0.0456235123816384
"2016","08","USB",5463413.04347826,0.0469528916980533
"2016","09","USB",6916109.52380952,-0.028539118747072
"2016","10","USB",7131842.85714286,0.043599882455025
"2016","11","USB",8789080.95238095,0.10857910617958
"2016","12","USB",7066285.71428571,0.0352680378409982
"2017","01","USB",6733730,0.0249173179016684
"2017","02","USB",6498931.57894737,0.0446343476925828
"2017","03","USB",7514717.39130435,-0.0636363636363636
"2017","04","USB",7187657.89473684,-0.00427186836316751
"2017","05","USB",5498254.54545455,-0.00760529249087838
"2017","06","USB",6680881.81818182,0.0202397090125803
"2017","07","USB",5786330,0.0165639568698204
"2017","08","USB",4338434.7826087,-0.02898823066849
"2017","09","USB",5678395,0.0456585395626905
"2017","10","USB",5695681.81818182,0.0147415733024436
"2017","11","USB",5395871.42857143,0.0141596256461853
"2017","12","USB",5165910,-0.0284678087286635
"2018","01","USB",6889457.14285714,0.0664426546646812
"2018","02","USB",7874373.68421053,-0.048652411777948
"2018","03","USB",6883528.57142857,-0.0710081046175801
"2018","04","USB",7362123.80952381,-0.000990083902189021
"2018","05","USB",6338068.18181818,-0.00911792026791347
"2018","06","USB",7823957.14285714,0.000600095584909699
"2018","07","USB",7422480.95238095,0.0597760463096007
"2018","08","USB",4924856.52173913,0.0207508455696654
"2018","09","USB",5571126.31578947,-0.0240251196155383
"2018","10","USB",8753134.7826087,-0.0102253531809309
"2018","11","USB",7420723.80952381,0.041897811508125
"2018","12","USB",10704815.7894737,-0.160851973352875
"2019","01","USB",7651914.28571429,0.119474813858219
"2019","02","USB",6100763.15789474,0.0103596321516346
"2019","03","USB",6095604.76190476,-0.0677113579606771
"2019","04","USB",6470595.23809524,0.106453646281533
"2019","05","USB",5015450,-0.0585146089599026
"2019","06","USB",5347850,0.0438247157271683
"2019","07","USB",5347200,0.0906488523221531
"2019","08","USB",5325118.18181818,-0.0780402936148711
"2019","09","USB",5427450,0.0502942037378531
"2019","10","USB",5134952.17391304,0.0303577936491426
"2019","11","USB",4960860,0.0527884654045696
"2019","12","USB",6395095.23809524,-0.0123271344130819
"2015","01","UTX#",4899490,-0.00226010200070659
"2015","02","UTX#",3215568.42105263,0.0621188792354175
"2015","03","UTX#",4117027.27272727,-0.0386351125615715
"2015","04","UTX#",3154433.33333333,-0.0294368347958727
"2015","05","UTX#",3089985,0.0300659179687499
"2015","06","UTX#",3646840.90909091,-0.0532559354893237
"2015","07","UTX#",6052190.90909091,-0.0957360742573308
"2015","08","UTX#",5897966.66666667,-0.0867311051738416
"2015","09","UTX#",5505695.23809524,-0.028599527662114
"2015","10","UTX#",4596327.27272727,0.105854658101694
"2015","11","UTX#",4118495,-0.0239813080228574
